collectionDate,dataType,compressed,uncompressed
2014-12-15,packet_filter,167,214
2014-12-15,radius,125939,855176
2014-12-15,reporter,369264,5847392
2014-12-15,reporter-14-12-21_20,281,538
2014-12-15,smtp,24784263,132992213
2014-12-15,smtp-14-12-21_20,6729,26638
2014-12-15,snmp,6342125,23027590
2014-12-15,snmp-14-12-21_20,22717,61368
2014-12-15,socks,6494,13430
2014-12-15,software,72522646,821689593
2014-12-15,software-14-12-21_20,7889,55126
2014-12-15,ssh,81842092,383520837
2014-12-15,ssh-14-12-21_20,25883,115177
2014-12-15,ssl,2402578904,9020759972
2014-12-15,ssl-14-12-21_20,376715,1489855
2014-12-15,stderr,2969,8255
2014-12-15,stdout,1080,1880
2014-12-15,syslog,2912149,31357084
2014-12-15,syslog-14-12-21_20,3514,16213
2014-12-15,traceroute,331026,1779686
2014-12-15,traceroute-14-12-21_20,583,1553
2014-12-15,tunnel,9606658,39224667
2014-12-15,tunnel-14-12-21_20,5928,24470
2014-12-15,weird,196182197,753252644
2014-12-15,x509,1230039511,10191756186
2014-12-15,x509-14-12-21_20,182633,1851642
2014-12-16,app_stats,6826,11072
2014-12-16,capture_loss,54679,151893
2014-12-16,communication,11833573,60436104
2014-12-16,conn,13197115280,37896835597
2014-12-16,conn-summary,64381,297550
2014-12-16,dnp3,568,1006
2014-12-16,dns,4613788269,51266860468
2014-12-16,dpd,18904017,83089722
2014-12-16,files,8369104755,24676711159
2014-12-16,ftp,1698948,13791150
2014-12-16,http,16463739497,54039454898
2014-12-16,irc,18165,92266
2014-12-16,known_certs,66061,399535
2014-12-16,known_hosts,369143,1347218
2014-12-16,known_services,1178538,5517735
2014-12-16,modbus,2007593,24116324
2014-12-16,notice,3974960,27085866
2014-12-16,radius,127233,913995
2014-12-16,reporter,329397,5326663
2014-12-16,smtp,80102855,584668321
2014-12-16,snmp,4978888,18442599
2014-12-16,socks,5069,8548
2014-12-16,software,64888631,733570037
2014-12-16,ssh,102568735,499848438
2014-12-16,ssl,2276624233,8607860997
2014-12-16,syslog,3506302,36808399
2014-12-16,traceroute,336389,1870200
2014-12-16,tunnel,8344496,32673092
2014-12-16,weird,203744056,798297088
2014-12-16,x509,1155701879,9662362902
2014-12-17,app_stats,6862,11123
2014-12-17,capture_loss,55028,152187
2014-12-17,communication,12027501,61010005
2014-12-17,conn,12161409080,34786961524
2014-12-17,conn-summary,64681,298280
2014-12-17,dns,3113243225,30449954921
2014-12-17,dpd,22092868,98381641
2014-12-17,files,7675972560,22851947100
2014-12-17,ftp,1311932,9323738
2014-12-17,http,14665548276,48974637754
2014-12-17,irc,20424,102764
2014-12-17,known_certs,57901,336329
2014-12-17,known_hosts,361595,1314648
2014-12-17,known_services,938985,4243387
2014-12-17,modbus,2012133,24162421
2014-12-17,notice,3800790,25935763
2014-12-17,radius,104203,712104
2014-12-17,reporter,302607,4987541
2014-12-17,smtp,24464659,106088060
2014-12-17,snmp,4729516,17131627
2014-12-17,socks,5791,10029
2014-12-17,software,55975651,617481049
2014-12-17,ssh,179054138,847809019
2014-12-17,ssl,2125913424,8053093545
2014-12-17,syslog,3336143,35096213
2014-12-17,traceroute,333962,1831316
2014-12-17,tunnel,8527556,33282809
2014-12-17,weird,196057110,754210829
2014-12-17,x509,1075639347,9047944733
2014-12-18,app_stats,6808,11028
2014-12-18,capture_loss,54193,151025
2014-12-18,communication,12107149,61050857
2014-12-18,conn,10836101051,30985662064
2014-12-18,conn-summary,65712,300961
2014-12-18,dnp3,2358,4385
2014-12-18,dns,3329529347,33637169630
2014-12-18,dpd,18943584,83787873
2014-12-18,files,6493481470,19453390840
2014-12-18,ftp,1323940,9693524
2014-12-18,http,12045831653,40128991373
2014-12-18,irc,18365,90782
2014-12-18,known_certs,65290,383771
2014-12-18,known_hosts,351734,1267189
2014-12-18,known_services,1203423,5565355
2014-12-18,modbus,2011292,24159565
2014-12-18,notice,3576837,24518720
2014-12-18,radius,102295,747246
2014-12-18,reporter,227378,3740661
2014-12-18,smtp,22393646,102206832
2014-12-18,snmp,6042597,21981948
2014-12-18,socks,7238,11727
2014-12-18,software,42455196,458145326
2014-12-18,ssh,178436396,850450140
2014-12-18,ssl,1800678742,6878715376
2014-12-18,syslog,3149329,33159030
2014-12-18,traceroute,323338,1774166
2014-12-18,tunnel,5776171,24633165
2014-12-18,weird,203478642,781740050
2014-12-18,x509,909302047,7750061405
2014-12-19,app_stats,6793,11024
2014-12-19,capture_loss,53349,149677
2014-12-19,communication,12138642,61063869
2014-12-19,conn,8861589336,25585755476
2014-12-19,conn-summary,65421,300445
2014-12-19,dhcp,296,418
2014-12-19,dns,2781979243,32927168716
2014-12-19,dpd,14904301,65517170
2014-12-19,files,4916361826,14897241147
2014-12-19,ftp,1023891,6992415
2014-12-19,http,8802577564,29852553102
2014-12-19,irc,16801,86266
2014-12-19,known_certs,63660,375747
2014-12-19,known_hosts,316468,1127916
2014-12-19,known_services,1205999,5747954
2014-12-19,modbus,2011082,24164335
2014-12-19,notice,3241517,22077670
2014-12-19,radius,81252,516414
2014-12-19,reporter,203884,3467067
2014-12-19,smtp,22823654,108129490
2014-12-19,snmp,6294506,25177775
2014-12-19,socks,4181,7147
2014-12-19,software,26543268,278226403
2014-12-19,ssh,86024793,406854422
2014-12-19,ssl,1308055094,5147105218
2014-12-19,syslog,3065880,32040214
2014-12-19,traceroute,369001,1959907
2014-12-19,tunnel,3431956,15730171
2014-12-19,weird,153205152,590069489
2014-12-19,x509,644115867,5771286899
2014-12-20,app_stats,6720,10893
2014-12-20,capture_loss,51379,145908
2014-12-20,communication,12274538,61960915
2014-12-20,conn,6192897464,18232726147
2014-12-20,conn-summary,64449,298931
2014-12-20,dns,2454744979,36107658621
2014-12-20,dpd,6974430,29803258
2014-12-20,files,2161623919,6606948208
2014-12-20,ftp,622581,4083683
2014-12-20,http,3468401663,12773987435
2014-12-20,irc,17779,93222
2014-12-20,known_certs,61547,355602
2014-12-20,known_hosts,220857,757324
2014-12-20,known_services,1185396,5410141
2014-12-20,modbus,2014808,24182588
2014-12-20,notice,2227140,15160257
2014-12-20,radius,47721,243787
2014-12-20,reporter,91192,1488927
2014-12-20,smtp,9283481,42446913
2014-12-20,snmp,5901342,21304428
2014-12-20,socks,4675,8112
2014-12-20,software,9861351,93151477
2014-12-20,ssh,84053239,404818698
2014-12-20,ssl,606454885,2582490442
2014-12-20,syslog,2777688,28242943
2014-12-20,traceroute,249142,1232928
2014-12-20,tunnel,1473296,7425104
2014-12-20,weird,83262058,341698017
2014-12-20,x509,281008025,2863053590
2014-12-21,app_stats,5601,9107
2014-12-21,capture_loss,42399,120820
2014-12-21,communication,10303923,51951930
2014-12-21,conn,5208177020,15556881171
2014-12-21,conn-summary,53021,245237
2014-12-21,dns,2435022290,29810452070
2014-12-21,dpd,5686831,24339902
2014-12-21,files,1666756831,5088106556
2014-12-21,ftp,625478,4118363
2014-12-21,http,2601615674,9601333273
2014-12-21,irc,14677,78490
2014-12-21,known_certs,49270,281585
2014-12-21,known_hosts,179200,613497
2014-12-21,known_services,515481,2236397
2014-12-21,modbus,1678277,20157789
2014-12-21,notice,1779455,12175666
2014-12-21,radius,32112,164473
2014-12-21,reporter,66733,1059741
2014-12-21,smtp,7157701,33609296
2014-12-21,snmp,1841501,6410732
2014-12-21,socks,4892,8016
2014-12-21,software,7454381,71546448
2014-12-21,ssh,91158288,445943901
2014-12-21,ssl,467414198,2001698440
2014-12-21,syslog,2128408,21199301
2014-12-21,traceroute,201007,1004938
2014-12-21,tunnel,852879,4551062
2014-12-21,weird,480699029,2801212435
2014-12-21,x509,213462967,2226233385
2014-12-22,communication,52971,383219
2014-12-22,loaded_scripts,2072,18071
2014-12-22,reporter,8825,123069
2014-12-23,app_stats,3611,5796
2014-12-23,capture_loss,25282,70584
2014-12-23,communication,5637655,29719697
2014-12-23,conn,3944164096,11311751360
2014-12-23,conn-summary,37774,172857
2014-12-23,dnp3,543,728
2014-12-23,dns,1588195368,15272797489
2014-12-23,dpd,6207981,26520698
2014-12-23,files,2383876382,7098770904
2014-12-23,ftp,510643,3467542
2014-12-23,http,4376083302,15224486499
2014-12-23,irc,9234,46183
2014-12-23,known_certs,41628,308676
2014-12-23,known_hosts,277125,1055020
2014-12-23,known_services,1442762,7622735
2014-12-23,loaded_scripts,4141,36142
2014-12-23,modbus,1063070,12760059
2014-12-23,notice,1517614,10237407
2014-12-23,packet_filter,329,428
2014-12-23,radius,26970,150370
2014-12-23,reporter,65194,942877
2014-12-23,smtp,17784825,75599415
2014-12-23,snmp,5748835,22328081
2014-12-23,socks,2656,4364
2014-12-23,software,14580593,145474977
2014-12-23,ssh,4026466,21802157
2014-12-23,ssl,606411086,2433126774
2014-12-23,stderr,301,18595
2014-12-23,stdout,324,564
2014-12-23,syslog,1663114,18080649
2014-12-23,traceroute,167646,870265
2014-12-23,tunnel,1683710,7997339
2014-12-23,weird,69190165,278600391
2014-12-23,x509,285326619,2659885980
2014-12-24,app_stats,6710,10884
2014-12-24,capture_loss,46394,133476
2014-12-24,communication,11133618,56963760
2014-12-24,conn,6007867984,17673564681
2014-12-24,conn-summary,63437,298297
2014-12-24,dns,1867419566,14970582797
2014-12-24,dpd,7459336,32406524
2014-12-24,files,2228076835,6779044451
2014-12-24,ftp,1013478,6486784
2014-12-24,http,3948696039,14690366911
2014-12-24,irc,14001,74265
2014-12-24,known_certs,56998,347082
2014-12-24,known_hosts,198717,703957
2014-12-24,known_services,1050641,4927389
2014-12-24,modbus,2014848,24198622
2014-12-24,notice,2140801,14945268
2014-12-24,radius,27634,110876
2014-12-24,reporter,76958,1236395
2014-12-24,smtp,9339230,44700529
2014-12-24,snmp,5608278,20224529
2014-12-24,socks,4957,8563
2014-12-24,software,8951472,95767713
2014-12-24,ssh,66913936,317970781
2014-12-24,ssl,569436474,2413074097
2014-12-24,syslog,3207241,33968834
2014-12-24,traceroute,259720,1354809
2014-12-24,tunnel,1243539,6717589
2014-12-24,weird,123753208,500474051
2014-12-24,x509,259272529,2616997787
2014-12-25,app_stats,6669,10816
2014-12-25,capture_loss,45850,132383
2014-12-25,communication,11359225,58301271
2014-12-25,conn,5540216847,16672703550
2014-12-25,conn-summary,64091,293269
2014-12-25,dnp3,584,995
2014-12-25,dns,1710161002,15320384252
2014-12-25,dpd,5417481,23139231
2014-12-25,files,1394329329,4313207102
2014-12-25,ftp,780511,5315431
2014-12-25,http,2158598689,8408289867
2014-12-25,irc,13981,76518
